name,shape,numel,layer,kind
model.layers.25.self_attn.k_proj.weight,5120x5120,26214400,25,attn.k_proj
model.layers.25.self_attn.v_proj.weight,5120x5120,26214400,25,attn.v_proj
model.layers.25.self_attn.o_proj.weight,5120x5120,26214400,25,attn.o_proj
model.layers.25.mlp.gate_proj.weight,13824x5120,70778880,25,mlp.gate_proj
model.layers.25.mlp.up_proj.weight,13824x5120,70778880,25,mlp.up_proj
model.layers.25.mlp.down_proj.weight,5120x13824,70778880,25,mlp.down_proj
model.layers.25.input_layernorm.weight,5120,5120,25,pre_attn_norm
model.layers.25.post_attention_layernorm.weight,5120,5120,25,post_attn_norm
model.layers.26.self_attn.q_proj.weight,5120x5120,26214400,26,attn.q_proj
model.layers.26.self_attn.k_proj.weight,5120x5120,26214400,26,attn.k_proj
model.layers.26.self_attn.v_proj.weight,5120x5120,26214400,26,attn.v_proj
model.layers.26.self_attn.o_proj.weight,5120x5120,26214400,26,attn.o_proj
model.layers.26.mlp.gate_proj.weight,13824x5120,70778880,26,mlp.gate_proj
model.layers.26.mlp.up_proj.weight,13824x5120,70778880,26,mlp.up_proj
model.layers.26.mlp.down_proj.weight,5120x13824,70778880,26,mlp.down_proj
model.layers.26.input_layernorm.weight,5120,5120,26,pre_attn_norm
model.layers.26.post_attention_layernorm.weight,5120,5120,26,post_attn_norm
model.layers.27.self_attn.q_proj.weight,5120x5120,26214400,27,attn.q_proj
model.layers.27.self_attn.k_proj.weight,5120x5120,26214400,27,attn.k_proj
model.layers.27.self_attn.v_proj.weight,5120x5120,26214400,27,attn.v_proj
model.layers.27.self_attn.o_proj.weight,5120x5120,26214400,27,attn.o_proj
model.layers.27.mlp.gate_proj.weight,13824x5120,70778880,27,mlp.gate_proj
model.layers.27.mlp.up_proj.weight,13824x5120,70778880,27,mlp.up_proj
model.layers.27.mlp.down_proj.weight,5120x13824,70778880,27,mlp.down_proj
model.layers.27.input_layernorm.weight,5120,5120,27,pre_attn_norm
model.layers.27.post_attention_layernorm.weight,5120,5120,27,post_attn_norm
model.layers.28.self_attn.q_proj.weight,5120x5120,26214400,28,attn.q_proj
model.layers.28.self_attn.k_proj.weight,5120x5120,26214400,28,attn.k_proj
model.layers.28.self_attn.v_proj.weight,5120x5120,26214400,28,attn.v_proj
model.layers.28.self_attn.o_proj.weight,5120x5120,26214400,28,attn.o_proj
model.layers.28.mlp.gate_proj.weight,13824x5120,70778880,28,mlp.gate_proj
model.layers.28.mlp.up_proj.weight,13824x5120,70778880,28,mlp.up_proj
model.layers.28.mlp.down_proj.weight,5120x13824,70778880,28,mlp.down_proj
model.layers.28.input_layernorm.weight,5120,5120,28,pre_attn_norm
model.layers.28.post_attention_layernorm.weight,5120,5120,28,post_attn_norm
model.layers.29.self_attn.q_proj.weight,5120x5120,26214400,29,attn.q_proj
model.layers.29.self_attn.k_proj.weight,5120x5120,26214400,29,attn.k_proj
model.layers.29.self_attn.v_proj.weight,5120x5120,26214400,29,attn.v_proj
model.layers.29.self_attn.o_proj.weight,5120x5120,26214400,29,attn.o_proj
model.layers.29.mlp.gate_proj.weight,13824x5120,70778880,29,mlp.gate_proj
model.layers.29.mlp.up_proj.weight,13824x5120,70778880,29,mlp.up_proj
model.layers.29.mlp.down_proj.weight,5120x13824,70778880,29,mlp.down_proj
model.layers.29.input_layernorm.weight,5120,5120,29,pre_attn_norm
model.layers.29.post_attention_layernorm.weight,5120,5120,29,post_attn_norm
model.layers.30.self_attn.q_proj.weight,5120x5120,26214400,30,attn.q_proj
model.layers.30.self_attn.k_proj.weight,5120x5120,26214400,30,attn.k_proj
model.layers.30.self_attn.v_proj.weight,5120x5120,26214400,30,attn.v_proj
model.layers.30.self_attn.o_proj.weight,5120x5120,26214400,30,attn.o_proj
model.layers.30.mlp.gate_proj.weight,13824x5120,70778880,30,mlp.gate_proj
model.layers.30.mlp.up_proj.weight,13824x5120,70778880,30,mlp.up_proj
